[judge-lab] 1/6 full-majority N=1699 p=0.4497 auroc=0.8070827617101101
[judge-lab] 2/6 thin-p05-majority N=984 p=0.0498 auroc=0.8025755756848194
[judge-lab] 3/6 thin-p02-majority N=954 p=0.0199 auroc=0.7889389248522376
[judge-lab] 4/6 full-conservative N=1699 p=0.6828 auroc=0.791902309513147
[judge-lab] 5/6 thin-p05-conservative N=567 p=0.0494 auroc=0.8170553935860059
[judge-lab] 6/6 thin-p02-conservative N=550 p=0.0200 auroc=0.8365660313712262
judge-lab seed=judge-bound-lab-v0 reps=2000 joined=1699 auroc_majority=0.8070827617101101
populations
pop_id                |    N | true_p |  auroc
----------------------+------+--------+-------
thin-p05-conservative | 200 |   strat-judge-flag-heavy | 1.0000 |   0.1148 |   True
thin-p05-conservative | 200 |              ppi++-judge | 0.9540 |   0.0739 |   True
thin-p02-conservative |  30 |       srs-hypergeometric | 1.0000 |   0.1242 |   True
thin-p02-conservative |  30 |        rogan-gladen-boot | 0.9890 |   0.7803 |   True
thin-p02-conservative |  30 |       calibrated-fnr-fpr | 1.0000 |   0.9999 |   True
thin-p02-conservative |  30 | strat-judge-proportional | 1.0000 |   0.2351 |   True
thin-p02-conservative |  30 |   strat-judge-flag-heavy | 1.0000 |   0.3277 |   True
thin-p02-conservative |  30 |              ppi++-judge | 0.4580 |   0.0455 |  False
thin-p02-conservative |  50 |       srs-hypergeometric | 1.0000 |   0.0870 |   True
thin-p02-conservative |  50 |        rogan-gladen-boot | 0.9855 |   0.6790 |   True
thin-p02-conservative |  50 |       calibrated-fnr-fpr | 1.0000 |   0.9994 |   True
thin-p02-conservative |  50 | strat-judge-proportional | 1.0000 |   0.1605 |   True
thin-p02-conservative |  50 |   strat-judge-flag-heavy | 1.0000 |   0.2236 |   True
thin-p02-conservative |  50 |              ppi++-judge | 0.6555 |   0.0435 |  False
thin-p02-conservative | 100 |       srs-hypergeometric | 1.0000 |   0.0573 |   True
thin-p02-conservative | 100 |        rogan-gladen-boot | 0.9875 |   0.6003 |   True
thin-p02-conservative | 100 |       calibrated-fnr-fpr | 1.0000 |   0.9858 |   True
thin-p02-conservative | 100 | strat-judge-proportional | 1.0000 |   0.1026 |   True
thin-p02-conservative | 100 |   strat-judge-flag-heavy | 1.0000 |   0.1333 |   True
thin-p02-conservative | 100 |              ppi++-judge | 0.8965 |   0.0401 |  False
thin-p02-conservative | 200 |       srs-hypergeometric | 0.9925 |   0.0411 |   True
thin-p02-conservative | 200 |        rogan-gladen-boot | 0.9925 |   0.5414 |   True
thin-p02-conservative | 200 |       calibrated-fnr-fpr | 1.0000 |   0.9147 |   True
thin-p02-conservative | 200 | strat-judge-proportional | 1.0000 |   0.0684 |   True
thin-p02-conservative | 200 |   strat-judge-flag-heavy | 1.0000 |   0.0721 |   True
thin-p02-conservative | 200 |              ppi++-judge | 0.9460 |   0.0357 |  False
smallest n with mean UCB < eps AND coverage >= 0.95
pop                   |    eps | n_srs | n_rg | n_cal | n_ppi | n_prop | n_heavy
----------------------+--------+-------+------+-------+-------+--------+--------
full-conservative     | 0.0500 |       |      |       |       |        |        
full-conservative     | 0.1000 |       |      |       |       |        |        
full-conservative     | 0.2000 |       |      |       |       |        |        
full-majority         | 0.0500 |       |      |       |       |        |        
full-majority         | 0.1000 |       |      |       |       |        |        
full-majority         | 0.2000 |       |      |       |       |        |        
thin-p02-conservative | 0.0500 |   200 |      |       |       |        |        
thin-p02-conservative | 0.1000 |    50 |      |       |       |    200 |     200
thin-p02-conservative | 0.2000 |    30 |      |       |       |     50 |     100
thin-p02-majority     | 0.0500 |   200 |      |       |       |        |        
thin-p02-majority     | 0.1000 |    50 |      |       |       |    200 |     200
thin-p02-majority     | 0.2000 |    30 |      |       |       |     50 |     100
thin-p05-conservative | 0.0500 |       |      |       |       |        |        
thin-p05-conservative | 0.1000 |   100 |      |       |   200 |        |        
thin-p05-conservative | 0.2000 |    30 |      |       |   200 |    100 |     100
thin-p05-majority     | 0.0500 |       |      |       |       |        |        
thin-p05-majority     | 0.1000 |   100 |      |       |       |        |        
thin-p05-majority     | 0.2000 |    30 |      |       |       |    100 |     100
P(certify at eps=0.05) on p=0.02 populations
pop                   |   n |                      est | true_p |  cover | mean_ucb | P_cert
----------------------+-----+--------------------------+--------+--------+----------+-------
thin-p02-majority     |  50 |       srs-hypergeometric | 0.0199 | 1.0000 |   0.0885 | 0.0000
thin-p02-majority     |  50 |        rogan-gladen-boot | 0.0199 | 0.9775 |   0.6750 | 0.0415
thin-p02-majority     |  50 |       calibrated-fnr-fpr | 0.0199 | 1.0000 |   0.9997 | 0.0000
thin-p02-majority     |  50 | strat-judge-proportional | 0.0199 | 1.0000 |   0.1653 | 0.0000
thin-p02-majority     |  50 |   strat-judge-flag-heavy | 0.0199 | 1.0000 |   0.2138 | 0.0000
thin-p02-majority     |  50 |              ppi++-judge | 0.0199 | 0.6410 |   0.0443 | 0.4400
thin-p02-majority     | 100 |       srs-hypergeometric | 0.0199 | 1.0000 |   0.0592 | 0.3745
thin-p02-majority     | 100 |        rogan-gladen-boot | 0.0199 | 0.9810 |   0.6059 | 0.0490
thin-p02-majority     | 100 |       calibrated-fnr-fpr | 0.0199 | 1.0000 |   0.9918 | 0.0000
thin-p02-majority     | 100 | strat-judge-proportional | 0.0199 | 1.0000 |   0.1035 | 0.0000
thin-p02-majority     | 100 |   strat-judge-flag-heavy | 0.0199 | 1.0000 |   0.1283 | 0.0000
thin-p02-majority     | 100 |              ppi++-judge | 0.0199 | 0.8820 |   0.0408 | 0.6735
thin-p02-majority     | 200 |       srs-hypergeometric | 0.0199 | 0.9900 |   0.0428 | 0.8075
thin-p02-majority     | 200 |        rogan-gladen-boot | 0.0199 | 0.9895 |   0.5770 | 0.0515
thin-p02-majority     | 200 |       calibrated-fnr-fpr | 0.0199 | 1.0000 |   0.9448 | 0.0000
thin-p02-majority     | 200 | strat-judge-proportional | 0.0199 | 1.0000 |   0.0684 | 0.0615
thin-p02-majority     | 200 |   strat-judge-flag-heavy | 0.0199 | 1.0000 |   0.0807 | 0.0000
thin-p02-majority     | 200 |              ppi++-judge | 0.0199 | 0.9380 |   0.0358 | 0.8825
thin-p02-conservative |  50 |       srs-hypergeometric | 0.0200 | 1.0000 |   0.0870 | 0.0000
thin-p02-conservative |  50 |        rogan-gladen-boot | 0.0200 | 0.9855 |   0.6790 | 0.0325
thin-p02-conservative |  50 |       calibrated-fnr-fpr | 0.0200 | 1.0000 |   0.9994 | 0.0000
thin-p02-conservative |  50 | strat-judge-proportional | 0.0200 | 1.0000 |   0.1605 | 0.0000
thin-p02-conservative |  50 |   strat-judge-flag-heavy | 0.0200 | 1.0000 |   0.2236 | 0.0000
